〇,0; zéro,ling2
七律,poème régulier de quatre vers heptamètres,qi1 lu:4
七扭八歪,(expr. idiom.) sens dessus dessous; dans un grand désordre,qi1 niu3 ba1 wai1
七拼八凑,assemblé au hasard; drôle de collection,qi1 pin1 ba1 cou4
七旬老人,septuagénaire,qi1 xun2 lao3 ren2
七月,juillet; le septième mois lunaire,Qi1 yue4
七月份,juillet,qi1 yue4 fen4
七窍生烟,(expr. idiom.) bouillonner de colère; lit. cracher de la fumée par les sept orifices,qi1 qiao4 sheng1 yan1
七老八十,septuagénaire (âge); très vieille (personne),qi1 lao3 ba1 shi2
七零八落,tout cassé et dans le désordre,qi1 ling2 ba1 luo4
七龙珠,Dragon Ball (manga),Qi1 long2 zhu1
丆,"un des caractères utilisés en kwukyel (phonétique myeon), un ancien système d'écriture coréen",xx5
丆,"un des caractères utilisés en kwukyel (phonétique myeon), un ancien système d'écriture coréen",xx5
万,dix mille; absolument; un grand nombre de; (nom de famille),wan4
万一,si jamais; au cas où; éventuellement,wan4 yi1
万万,cent millions; au plus haut degré; absolument pas; ne... jamais,wan4 wan4
万丈,insondable; sans fond,wan4 zhang4
万不得已,(expr. idiom.) seulement quand c'est absolument indispensable; comme dernier recours,wan4 bu4 de2 yi3
万世师表,(expr. idiom.) model éternel; celui à qui se référer de tout temps; se réfère à Confucius,wan4 shi4 shi1 biao3
万事,toute chose,wan4 shi4
万事如意,(expr. idiom.) Que les mille affaires des hommes soient conformes à leurs désirs; beaucoup de bonnes choses; que tout vous réussisse,wan4 shi4 ru2 yi4
万事达,MasterCard,Wan4 shi4 da2
万事通,homme à tout faire; monsieur je sais tout,wan4 shi4 tong1
万人,dix mille personnes; tout le peuple; chaque homme,wan4 ren2
万代,Bandai,Wan4 dai4
万代千秋,après d'innombrables siècles,wan4 dai4 qian1 qiu1
万众,des millions de personnes; une multitude,wan4 zhong4
万全,absolument sûr; de toute sûreté; infaillible,wan4 quan2
万分,extrêmement; absolument,wan4 fen1
万劫不复,expédié à la damnation éternelle; sans espoir de sursis,wan4 jie2 bu4 fu4
万千,d'une grande variété; des myriades; innombrables,wan4 qian1
万博,Huambo,wan4 bo2
万古千秋,(expr. idiom.) pour l'éternité,wan4 gu3 qian1 qiu1
万叶集,Man'yoshu,wan4 ye4 ji2
万向节,joint de Cardan; suspension à la Cardan; articulation à la Cardan,wan4 xiang4 jie2
万圣节,Halloween,Wan4 sheng4 jie2
万头钻动,grouillement de la foule,wan4 tou2 zuan1 dong4
万宝路,Marlboro,Wan4 bao3 lu4
万寿无疆,Puissiez-vous vivre dix mille ans,wan4 shou4 wu2 jiang1
万寿菊,Rose d'Inde,wan4 shou4 ju2
万岁,longue vie,wan4 sui4
万年,Xian de Wannian,Wan4 nian2
万年青,Nippon lily (Rohdea japonica),wan4 nian2 qing1
万幸,heureusement; par bonheur; par un heureux hasard,wan4 xing4
万德尔雷,Vanderlei,wan4 de2 er3 lei2
万恶,tout ce qui est mal,wan4 e4
万无一失,sans faute; de toute sécurité; absolument sûr; certain; être infaillible; Rien n'est laissé au hasard; Toutes les précautions sont prises,wan4 wu2 yi1 shi1
万智牌,Magic : l'assemblée,wan4 zhi4 pai2
万有,universel,wan4 you3
万有引力,gravitation,wan4 you3 yin3 li4
万有引力定律,loi universelle de la gravitation,wan4 you3 yin3 li4 ding4 lu:4
万民,toutes les personnes,wan4 min2
万水千山,dix mille rivières et mille montagnes; un voyage long et hasardeux,wan4 shui3 qian1 shan1
万泉河,rivière Wanquan,Wan4 quan2 He2
万物,tous les êtres vivants,wan4 wu4
万状,extrêmement,wan4 zhuang4
万用表,multimètre,wan4 yong4 biao3
万籁俱寂,silence complet; Tous les bruits sont étouffés,wan4 lai4 ju4 ji4
万紫千红,une profusion de fleurs; une débauche de couleurs,wan4 zi3 qian1 hong2
万维网,world wide web,Wan4 wei2 wang3
万能,tout-puissant; universel,wan4 neng2
万能胶,Cyanoacrylate,wan4 neng2 jiao1
万能药,élixir,wan4 neng2 yao4
万能钥匙,passe; passe-partout,wan4 neng2 yao4 shi5
万般,extrêmement; absolument; toutes sortes de,wan4 ban1
万艾可,Sildénafil,Wan4 ai4 ke3
万花筒,kaléidoscope,wan4 hua1 tong3
万象,toutes les apparences; tous les phénomènes; toutes choses,wan4 xiang4
万达,Vanda,wan4 da2
万里,Wan Li,wan4 li3
万里长城,Grande Muraille,Wan4 li3 Chang2 cheng2
万金油,Baume du tigre,wan4 jin1 you2
万隆,Bandung (département); Bandung,Wan4 long2
万难,extrêmement difficile; mille difficultés,wan4 nan2
丈,(unité de longueur ~3m); mesurer,zhang4
丈人,épouse du père; beau-père; vieillard,zhang4 ren2
丈夫,mari; époux,zhang4 fu5
丈母,mère de l'épouse; belle-mère,zhang4 mu3
丈母娘,bellemère; mère de la femme,zhang4 mu3 niang2
丈量,mesurer; arpenter,zhang4 liang2
三,trois; 3,san1
三七,Panax,san1 qi1
三七仔,(argot) mac,san1 qi1 zi3
三万,30 000; trente milles,san1 wan4
三三两两,par deux ou trois; en petits groupes,san1 san1 liang3 liang3
三不,Les trois non (slogan abrégé),san1 bu4
三世,le Troisième (pour les rois),san1 shi4
三两,deux ou trois,san1 liang3
三个代表,Trois représentations,San1 ge4 Dai4 biao3
三个月,trois mois; trimestre,san1 ge4 yue4
三井,Mitsui,San1 jing3
三亚,Sanya,San1 ya4
三人,troïka,san1 ren2
三人行,Three's Company,san1 ren2 xing2
三代,troisème génération,san1 dai4
三令五申,réitérer ses instructions et commandements; réitérer ses ordres; injonctions réitérées,san1 ling4 wu3 shen1
三伏,"trois périodes formant les périodes les plus chaudes de l'été, de mi-Juillet à la mi-août",san1 fu2
三位一体,trinité chrétienne,San1 wei4 Yi1 ti3
三位博士,les rois mages,san1 wei4 bo2 shi4
三倍,triple,san1 bei4
三八,Journée internationale des femmes (le 8 mars); commère; peau de vache; salope,san1 ba1
三八妇女节,Journée internationale des droits de la femme,san1 ba1 fu4 nu:3 jie2
三八线,38e parallèle nord,san1 ba1 xian4
三公,Trois Excellences,san1 gong1
三军,grande armée; armées de terre; de mer et de l'air,san1 jun1
三分,un peu,san1 fen1
三分之一,un tiers,san1 fen1 zhi1 yi1
三分之二,deux tiers,san1 fen1 zhi1 er4
三分法,trichromie,san1 fen1 fa3
三分球,panier à trois points,san1 fen1 qiu2
三剑客,Les Trois Mousquetaires,san1 jian4 ke4
三十六计,Les 36 stratagèmes,san1 shi2 liu4 ji4
三十四,trente-quatre; 34,san1 shi2 si4
三千,trois mille; 3000,san1 qian1
三原则,les Trois Principes (dans beaucoup de contextes),san1 yuan2 ze2
三原色,Couleur primaire,san1 yuan2 se4
三厢,berline,san1 xiang1
三叉戟,trident,san1 cha1 ji3
三叉神经,nerf trijumeau,san1 cha1 shen2 jing1
三双,Triple-double,san1 shuang1
三叠纪,Trias,San1 die2 ji4
三只手,pickpocket; voleur à la tire,san1 zhi1 shou3
三只眼,3×3 Eyes,san1 zhi1 yan3
三叶草,Trèfle,san1 ye4 cao3
三叶虫,trilobita,san1 ye4 chong2
三合一,trois en un; triple,san1 he2 yi1
三合会,Triades chinoises,San1 he2 hui4
三唑仑,triazolam,san1 zuo4 lun2
三围,mensurations,san1 wei2
三国,Trois Royaumes de Chine,San1 guo2
三国志,Chroniques des Trois Royaumes,San1 guo2 zhi4
三国战纪,Knights of Valour,san1 guo2 zhan4 ji4
三天,trois jours; 3 jours,san1 tian1
三好学生,"étudiant d'exception (qui se distingue dans les études, par son attitude et par sa bonne santé)",san1 hao4 xue2 sheng1
三字经,Classique des Trois Caractères,san1 zi4 jing1
三峡,Trois Gorges,San1 xia2
三峡大坝,Barrage des Trois-Gorges,San1 xia2 Da4 ba4
三峡工程,Barrage des Trois-Gorges,san1 xia2 gong1 cheng2
三年,trois ans; 3 ans,san1 nian2
三度,tierce (intervalle musicale),san1 du4
三弦,sanxian,san1 xian2
三得利,Suntory,San1 de2 li4
三心二意,sans conviction; sans enthousiasme; demi-teinte; tergiversations,san1 xin1 er4 yi4
三思而后行,Il faut réfléchir avant d'agir.,san1 si1 er2 hou4 xing2
三才,les Trois Augustes,san1 cai2
三教,"les Trois Religions; taoïsme, confucianisme et bouddhisme",San1 Jiao4
三教九流,différentes sectes religieuses et diverses écoles académiques; gens de tous bords,san1 jiao4 jiu3 liu2
三文治,sandwich,san1 wen2 zhi4
三文鱼,saumon,san1 wen2 yu2
三明治,sandwich,san1 ming2 zhi4
三星,Samsung,san1 xing1
三星电子,Samsung Electronics,san1 xing1 dian4 zi3
三星集团,Samsung Group,San1 xing1 Ji2 tuan2
三春,les trois mois du printemps,san1 chun1
三昧,Samadhi,san1 mei4
三更半夜,dans la profondeur de la nuit; tard dans la nuit,san1 geng1 ban4 ye4
三月,mars; le troisième mois lunaire,San1 yue4
三月份,mars,san1 yue4 fen4
三朋四友,amis; copains,san1 peng2 si4 you3
三权分立,séparation des pouvoirs,san1 quan2 fen1 li4
三极管,lampe triode,san1 ji2 guan3
三棱镜,prisme,san1 leng2 jing4
三楼,troisième étage,san1 lou2
三次,trois fois,san1 ci4
三段论,Syllogisme,san1 duan4 lun4
三毛,Sanmao,san1 mao2
三民主义,Trois principes du peuple,san1 min2 zhu3 yi4
三氧化铬,trioxyde de chrome,san1 yang3 hua4 ge4
三氯乙烯,trichloroéthylène; trichlorure d'éthylène,san1 lu:4 yi3 xi1
三氯氰胺,mélamine C3H6N6,san1 lu:4 qing2 an4
三洋,Sanyo,San1 yang2
三清,Trois Purs,san1 qing1
三清山,Sanqing Shan,san1 qing1 shan1
三番五次,à maintes reprises; maintes foi; à plusieurs reprises; à maintes et maintes reprise,san1 fan1 wu3 ci4
三百,trois cents,san1 bai3
三皇,Les trois Augustes et les cinq Empereurs,san1 huang2
三皇五帝,Les trois Augustes et les cinq Empereurs,san1 huang2 wu3 di4
三相,Triphasé,san1 xiang4
三种,trois sortes,san1 zhong3
三秒胶,superglue,san1 miao3 jiao1
三级,3ème grade; troisième classe; catégorie C,san1 ji2
三级跳,Triple saut,san1 ji2 tiao4
三级跳远,triple saut,san1 ji2 tiao4 yuan3
三维,3D; trois dimensions,san1 wei2
三维动画,Infographie 3D,san1 wei2 dong4 hua4
三维空间,trois dimensions,san1 wei2 kong1 jian1
三缄其口,bouche cousue,san1 jian1 qi2 kou3
三联书店,Joint Publishing Co.,San1 lian2 Shu1 dian4
三脚架,Trépied photographique,san1 jiao3 jia4
三色,Trois Couleurs (cinéma),san1 se4
三色堇,Pensée sauvage (plante),san1 se4 jin3
三菱,Mitsubishi,San1 ling2
三菱汽车,Mitsubishi Motors,san1 ling2 qi4 che1
三菱电机,Mitsubishi Electric,san1 ling2 dian4 ji1
三藏,Tipitaka,San1 zang4
三角,triangle,san1 jiao3
三角函数,Fonction trigonométrique,san1 jiao3 han2 shu4
三角形,triangle,san1 jiao3 xing2
三角恋爱,Triangle amoureux,san1 jiao3 lian4 ai4
三角板,équerre; triangle,san1 jiao3 ban3
三角架,trépied,san1 jiao3 jia4
三角洲,delta (fleuve),san1 jiao3 zhou1
三角肌,Muscle deltoïde,san1 jiao3 ji1
三角裤,Slip,san1 jiao3 ku4
三角铁,Triangle (musique),san1 jiao3 tie3
三角龙,Triceratops,san1 jiao3 long2
三言,Trois recueils d'histoires,san1 yan2
三言两语,en peu de mots; brièvement,san1 yan2 liang3 yu3
三资,"entreprise à trois formes de capitaux (entreprise à capitaux étrangers, entreprise à capitaux mixtes, entreprise en coopérative avec les entreprises étrangères)",san1 zi1
三身,trikaya; triple corps des bouddhas,san1 shen1
三轮车,tricycle; vélopousse,san1 lun2 che1
三轮车夫,conducteur de cyclopousse,san1 lun2 che1 fu1
三通,pièce en T,san1 tong1
三部曲,Trilogie,san1 bu4 qu3
三里屯,Sanlitun,San1 li3 tun2
三里河,Sanlihe (rue de Pékin),San1 li3 he2
三重,triple,san1 chong2
三重奏,trio (ensemble musical),san1 chong2 zou4
三陪小姐,escorte féminine,san1 pei2 xiao3 jie5
三项,"trois éléments; trois évènements, trois termes; tri; trinôme, ternaire; triathlon",san1 xiang4
三鲜,trois ingrédients frais (en cuisine),san1 xian1
三P,menage à trois (argot),san1 P
上,monter; grimper; partir pour; mettre; fixer; appliquer (un remède); supérieur; haut; premier; précédent,shang4
上一个,précédent,shang4 yi1 ge5
上一页,page précédente,shang4 yi1 ye4
上万,plus de dix mille; un nombre incalculable; innombrables; des milliers et des milliers,shang4 wan4
上下,le haut et le bas; les vieux et les jeunes; les supérieurs et les inférieurs; plus ou moins; environ; à peu près; monter et descendre,shang4 xia4
上下床,lit superposé,shang4 xia4 chuang2
上下文,contexte (textuel),shang4 xia4 wen2
上下班,migration pendulaire; faire la navette pour le travail,shang4 xia4 ban1
上世纪,siècle dernier,shang4 shi4 ji4
上个,"première (de deux parties); dernière (semaine, etc.); précédent; ci-dessus",shang4 ge5
上个月,le mois dernier,shang4 ge4 yue4
上乘,première classe; meilleure qualité,shang4 cheng2
上书,présenter son avis par écrit à son supérieur,shang4 shu1
上交,donner à l'autorité supérieure; chercher des relations haut placées,shang4 jiao1
上任,entrer en fonctions,shang4 ren4
上传,uploader; envoyer (sur Internet),shang4 chuan2
上位,top; personne occupant une position de premier plan,shang4 wei4
上供,faire des offrandes (aux dieux ou aux ancêtres); offrir des cadeaux à ses supérieurs afin de gagner leur faveur,shang4 gong4
上前,aller de l'avant,shang4 qian2
上升,monter; hausser,shang4 sheng1
上午,matinée,shang4 wu3
上半场,première mi-temps,shang4 ban4 chang3
上半年,première moitié (d'une année),shang4 ban4 nian2
上半身,le haut du corps,shang4 ban4 shen1
上厕所,aller aux toilettes,shang4 ce4 suo3
上去,(placé après un verbe pour indiquer une action de bas en haut ou une longue distance); monter,shang4 qu4
上口,être capable de lire à haute voix couramment; être approprié pour la lecture à voix haute,shang4 kou3
上古,le lointain passé; Antiquité,shang4 gu3
上台,entrer en scène; faire son apparition sur la scène politique; arriver au pouvoir,shang4 tai2
上司,supérieur,shang4 si5
上吊,se pendre,shang4 diao4
上吐下泻,avoir une nausée accompagnée de vomissements et de diarrhée,shang4 tu4 xia4 xie4
上周,la semaine dernière,shang4 zhou1
上呼吸道,appareil respiratoire supérieur,shang4 hu1 xi1 dao4
上品,haut ordre; première qualité; grade élevé,shang4 pin3
上唇,lèvre supérieure,shang4 chun2
上场,entrer en scène; faire son entrée sur le terrain,shang4 chang3
上坟,balayer les tombes (de ses ancêtres); fête de Qingming,shang4 fen2
上坡,montée; amont; se déplacer vers le haut; gravir une pente,shang4 po1
上坡路,route qui monte; tendance à la hausse; progrès,shang4 po1 lu4
上域,codomaine d'une fonction,shang4 yu4
上声,troisième ton en mandarin,shang3 sheng1
上外,Université des études internationales de Shanghai,Shang4 Wai4
上天,monter au ciel; ciel; les airs; Dieu,shang4 tian1
上天入地,"lit. monter au paradis ou descendre en enfer; fig. peu importe la direction, je m'en fiche.; décider d'aller de l'avant sans pressentiment",shang4 tian1 ru4 di4
上头,ci-dessus; au-dessus de; sur la surface de,shang4 tou5
上好,de premier ordre; de la meilleure qualité,shang4 hao3
上学,aller à l'école,shang4 xue2
上官,fonctionnaire de haut rang; supérieur (n.m),shang4 guan1
上将,général de corps d'armée; amiral (de la marine),shang4 jiang4
上尉,capitaine,shang4 wei4
上层,superstrat,shang4 ceng2
上层建筑,Infrastructure et Superstructure,shang4 ceng2 jian4 zhu4
上层社会,élite,shang4 ceng2 she4 hui4
上山,aller vers le haut; décéder,shang4 shan1
上岗,prendre son poste; se voir offrir un emploi,shang4 gang3
上岸,atterir; débarquer; renoncer à la méchanceté,shang4 an4
上工,aller au travail,shang4 gong1
上市,Introduction en bourse,shang4 shi4
上市公司,société anonyme avec appel public à l'épargne,shang4 shi4 gong1 si1
上帝,Seigneur; Dieu; Shang Di,Shang4 di4
上年,année dernière (dialecte),shang4 nian2
上年纪,âgé; qui prend de l'âge,shang4 nian2 ji4
上床,aller se coucher; se mettre au lit; faire l'amour (argot),shang4 chuang2
上座,siège d'honneur,shang4 zuo4
上弦,remonter (une horloge ou une montre); tendre la corde d'un arc; premier quartier de la Lune,shang4 xian2
上弦月,premier quartier de Lune,shang4 xian2 yue4
上当,se faire avoir,shang4 dang4
上手,entreprendre; commencer; la place la plus honorable,shang4 shou3
上扬,augmenter; hausse,shang4 yang2
上报,être publié dans un journal; rendre compte de qch à son supérieur,shang4 bao4
上文,texte cité plus haut; ce qui précède dans le texte,shang4 wen2
上方,au top,shang4 fang1
上旬,la première décade du mois,shang4 xun2
上星期,la semaine dernière; semaine précédente,shang4 xing1 qi1
上映,projeter (un film),shang4 ying4
上月,le mois dernier,shang4 yue4
上机,embarquement (personnel); chargement (matériels),shang4 ji1
上来,monter vers soi; Viens ! (à qqn plus bas que soi),shang4 lai2
上标,Exposant (typographie),shang4 biao1
上校,capitaine,shang4 xiao4
上楼,monter les marches; aller en haut,shang4 lou2
上次,dernière fois,shang4 ci4
上款,destinataire,shang4 kuan3
上气不接下气,(expr. idiom.) ne pas avoir assez de souffle; haleter,shang4 qi4 bu4 jie1 xia4 qi4
上水,Sheung Shui,Shang4 shui3
上汽,SAIC (Shanghai Automotive Industry Corp.),Shang4 Qi4
上流,de la haute société,shang4 liu2
上流社会,la haute société; le beau monde,shang4 liu2 she4 hui4
上浮,flotter,shang4 fu2
上海,Shanghai,Shang4 hai3
上海交通大学,Université Jiao-tong de Shanghai,Shang4 hai3 Jiao1 tong1 Da4 xue2
上海医科大学,Université Médicale de Shanghai,Shang4 hai3 Yi1 ke1 Da4 xue2
上海外国语大学,Université des études internationales de Shanghai,Shang4 hai3 Wai4 guo2 yu3 Da4 xue2
上海大学,Université de Shanghai,Shang4 hai3 Da4 xue2
上海帮,Clique de Shanghai,shang4 hai3 bang1
上海戏剧学院,Académie de Théâtre de Shanghai,Shang4 hai3 Xi4 ju4 Xue2 yuan4
上海港,Port de Shanghai,shang4 hai3 gang3
上海白菜,chou pak choï; bok choy,Shang4 hai3 bai2 cai4
上海菜,cuisine shanghaienne,shang4 hai3 cai4
上海话,shanghaïen (langage); dialecte de Shanghai,Shang4 hai3 hua4
上海财经大学,Université de Finance et d'Économie de Shanghai,Shang4 hai3 Cai2 jing1 Da4 xue2
上涨,s'élever; monter,shang4 zhang3
上游,amont; le courant supérieur d'une rivière; avant,shang4 you2
上演,représenter,shang4 yan3
上火,se fâcher; avoir de la chaleur endogène,shang4 huo3
上环,(famil.) porter un appareil intra-utérin (IUD),shang4 huan2
上班,aller au travail,shang4 ban1
上班族,Salaryman,shang4 ban1 zu2
上班时间,heure de pointe (du matin),shang4 ban1 shi2 jian1
上瘾,prendre une habitude tyrannique; mener à la toxicomanie; faire naître un besoin irrésistible,shang4 yin3
